,artist_genres,count
320,canadian singer-songwriter,1
321,minneapolis sound,1
322,modern salsa,1
323,salsa,1
324,tropical,1
325,album rock,1
326,celtic,1
327,middle earth,1
328,classic schlager,1
329,oktoberfest,1
330,schlager,1
331,chicago punk,1
332,hardcore punk,1
333,soca,1
334,vincy soca,1
335,chicano rap,1
336,texas latin rap,1
337,industrial,1
338,industrial rock,1
339,glam metal,1
340,canadian metal,1
341,bhangra,1
342,classic bhangra,1
343,desi hip hop,1
344,detroit rock,1
345,new romantic,1
346,new wave,1
347,australian alternative rock,1
348,german pop,1
349,finnish edm,1
350,british invasion,1
351,gospel,1
352,gospel r&b,1
353,athens indie,1
354,bahamian pop,1
355,broadway,1
356,norwegian indie,1
357,alternative pop rock,1
358,pop venezolano,1
359,art rock,1
360,mambo chileno,1
361,urbano chileno,1
362,dark clubbing,1
363,belgian edm,1
364,british alternative rock,1
365,ukg revival,1
366,british singer-songwriter,1
367,portland hip hop,1
368,underground hip hop,1
369,hawaiian hip hop,1
370,cloud rap,1
371,nyc pop,1
372,tennessee hip hop,1
373,latin arena pop,1
374,nigerian pop,1
375,melodic drill,1
376,norwegian hip hop,1
377,lds youth,1
378,canadian old school hip hop,1
379,acid house,1
380,skate punk,1
381,leicester indie,1
382,filmi,1
383,wrestling,1
384,rock independant francais,1
385,christian alternative rock,1
386,christian music,1
387,christian rock,1
388,hardcore techno,1
389,quiet storm,1
390,swedish idol pop,1
391,g-house,1
392,glee club,1
393,australian house,1
394,northern irish indie,1
395,london rap,1
396,swedish indie pop,1
397,french shoegaze,1
398,french synthpop,1
399,romanian pop,1
400,sertanejo,1
401,seattle indie,1
402,washington indie,1
403,english indie rock,1
404,speed garage,1
405,garage rock revival,1
406,hyphy,1
407,screamo,1
408,south african rock,1
409,old school bassline,1
410,rap kreyol,1
411,k-rap,1
412,korean old school hip hop,1
413,canadian electropop,1
414,grave wave,1
415,israeli rock,1
416,chill pop,1
417,comic,1
418,dutch trance,1
419,future house,1
420,french indie pop,1
421,french rock,1
422,electro trash,1
423,rap conscient,1
424,sad lo-fi,1
425,sad rap,1
426,rhode island rap,1
427,dutch pop,1
428,slowed and reverb,1
429,oxford indie,1
430,canadian indie,1
431,deep euro house,1
432,new french touch,1
433,irish singer-songwriter,1
434,australian psych,1
435,neo-psychedelic,1
436,icelandic indie,1
437,icelandic rock,1
